data_jogo,partida,autor_gol,equipe_do_autor,minuto,placar_apos_gol,tipo_lance,classificacao_gol
2026-06-14,Germany x Curaçao,Kai Havertz,Germany,45'+5',3 x 1,Penalty - Scored,Ampliando o placar
2026-06-14,Germany x Curaçao,Jamal Musiala,Germany,47',4 x 1,Goal,Ampliando o placar
2026-06-14,Germany x Curaçao,Nathaniel Brown,Germany,68',5 x 1,Goal - Volley,Ampliando o placar
2026-06-14,Germany x Curaçao,Deniz Undav,Germany,78',6 x 1,Goal,Ampliando o placar
2026-06-14,Germany x Curaçao,Kai Havertz,Germany,88',7 x 1,Goal,Ampliando o placar
2026-06-14,Netherlands x Japan,Virgil van Dijk,Netherlands,51',1 x 0,Goal - Header,Desempate
2026-06-14,Netherlands x Japan,Keito Nakamura,Japan,57',1 x 1,Goal,Empate
2026-06-14,Netherlands x Japan,Crysencio Summerville,Netherlands,64',2 x 1,Goal,Desempate
2026-06-14,Netherlands x Japan,Daichi Kamada,Japan,89',2 x 2,Goal - Header,Empate
2026-06-14,Ivory Coast x Ecuador,Amad Diallo,Ivory Coast,90',1 x 0,Goal,Desempate
2026-06-15,Sweden x Tunisia,Yasin Ayari,Sweden,7',1 x 0,Goal,Desempate
2026-06-15,Sweden x Tunisia,Alexander Isak,Sweden,30',2 x 0,Goal,Ampliando o placar
2026-06-15,Sweden x Tunisia,Omar Rekik,Tunisia,43',2 x 1,Goal - Header,Empate
2026-06-15,Sweden x Tunisia,Viktor Gyökeres,Sweden,59',3 x 1,Goal,Ampliando o placar
2026-06-15,Sweden x Tunisia,Mattias Svanberg,Sweden,84',4 x 1,Goal,Ampliando o placar
2026-06-15,Sweden x Tunisia,Yasin Ayari,Sweden,90'+6',5 x 1,Goal,Ampliando o placar
2026-06-15,Belgium x Egypt,Emam Ashour,Egypt,20',0 x 1,Goal,Desempate
2026-06-15,Belgium x Egypt,Mohamed Hany,Belgium,66',1 x 1,Own Goal,Empate
2026-06-15,Saudi Arabia x Uruguay,Abdulelah Al-Amri,Saudi Arabia,41',1 x 0,Goal,Desempate
2026-06-15,Saudi Arabia x Uruguay,Maxi Araújo,Uruguay,80',1 x 1,Goal,Empate
2026-06-16,Iran x New Zealand,Elijah Just,New Zealand,7',0 x 1,Goal,Desempate
2026-06-16,Iran x New Zealand,Ramin Rezaeian,Iran,32',1 x 1,Goal,Empate
2026-06-16,Iran x New Zealand,Elijah Just,New Zealand,54',1 x 2,Goal,Desempate
2026-06-16,Iran x New Zealand,Mohammad Mohebbi,Iran,64',2 x 2,Goal - Header,Empate
2026-06-16,France x Senegal,Kylian Mbappé,France,66',1 x 0,Goal,Desempate
2026-06-16,France x Senegal,Bradley Barcola,France,82',2 x 0,Goal,Ampliando o placar
2026-06-16,France x Senegal,Ibrahim Mbaye,Senegal,90'+5',2 x 1,Goal,Empate
2026-06-16,France x Senegal,Kylian Mbappé,France,90'+6',3 x 1,Goal,Ampliando o placar
2026-06-16,Iraq x Norway,Erling Haaland,Norway,29',0 x 1,Goal,Desempate
2026-06-16,Iraq x Norway,Aymen Hussein,Iraq,39',1 x 1,Goal - Header,Empate
2026-06-16,Iraq x Norway,Erling Haaland,Norway,43',1 x 2,Goal,Desempate
2026-06-16,Iraq x Norway,Leo Østigard,Norway,76',1 x 3,Goal - Header,Ampliando o placar
2026-06-16,Iraq x Norway,Aymen Hussein,Norway,90'+6',1 x 4,Own Goal,Ampliando o placar
2026-06-17,Argentina x Algeria,Lionel Messi,Argentina,17',1 x 0,Goal,Desempate
2026-06-17,Argentina x Algeria,Lionel Messi,Argentina,60',2 x 0,Goal,Ampliando o placar
2026-06-17,Argentina x Algeria,Lionel Messi,Argentina,76',3 x 0,Goal,Ampliando o placar
2026-06-17,Austria x Jordan,Romano Schmid,Austria,21',1 x 0,Goal,Desempate
2026-06-17,Austria x Jordan,Ali Olwan,Jordan,50',1 x 1,Goal,Empate
2026-06-17,Austria x Jordan,Yazan Al-Arab,Austria,76',2 x 1,Own Goal,Desempate
2026-06-17,Austria x Jordan,Marko Arnautovic,Austria,90'+12',3 x 1,Penalty - Scored,Ampliando o placar
2026-06-17,Portugal x Congo DR,João Neves,Portugal,6',1 x 0,Goal - Header,Desempate
2026-06-17,Portugal x Congo DR,Yoane Wissa,Congo DR,45'+5',1 x 1,Goal - Header,Empate
2026-06-17,England x Croatia,Harry Kane,England,12',1 x 0,Penalty - Scored,Desempate
2026-06-17,England x Croatia,Martin Baturina,Croatia,36',1 x 1,Goal,Empate
2026-06-17,England x Croatia,Harry Kane,England,42',2 x 1,Goal - Header,Desempate
2026-06-17,England x Croatia,Petar Musa,Croatia,45'+5',2 x 2,Goal,Empate
2026-06-17,England x Croatia,Jude Bellingham,England,47',3 x 2,Goal,Desempate
2026-06-17,England x Croatia,Marcus Rashford,England,85',4 x 2,Goal,Ampliando o placar
2026-06-17,Ghana x Panama,Caleb Yirenkyi,Ghana,90'+5',1 x 0,Goal,Desempate
2026-06-18,Uzbekistan x Colombia,Daniel Muñoz,Colombia,40',0 x 1,Goal,Desempate
2026-06-18,Uzbekistan x Colombia,Abbosbek Fayzullaev,Uzbekistan,60',1 x 1,Goal - Header,Empate
2026-06-18,Uzbekistan x Colombia,Luis Díaz,Colombia,65',1 x 2,Goal,Desempate
2026-06-18,Uzbekistan x Colombia,Jáminton Campaz,Colombia,90'+9',1 x 3,Goal - Header,Ampliando o placar
2026-06-18,Czechia x South Africa,Michal Sadílek,Czechia,6',1 x 0,Goal,Desempate
2026-06-18,Czechia x South Africa,Teboho Mokoena,South Africa,83',1 x 1,Penalty - Scored,Empate
2026-06-18,Switzerland x Bosnia-Herz,Johan Manzambi,Switzerland,74',1 x 0,Goal,Desempate
2026-06-18,Switzerland x Bosnia-Herz,Rubén Vargas,Switzerland,84',2 x 0,Goal,Ampliando o placar
2026-06-18,Switzerland x Bosnia-Herz,Johan Manzambi,Switzerland,90',3 x 0,Goal,Ampliando o placar
2026-06-18,Switzerland x Bosnia-Herz,Ermin Mahmic,Bosnia-Herz,90'+3',3 x 1,Goal,Empate
2026-06-18,Switzerland x Bosnia-Herz,Granit Xhaka,Switzerland,90'+7',4 x 1,Penalty - Scored,Ampliando o placar
2026-06-18,Canada x Qatar,Cyle Larin,Canada,16',1 x 0,Goal,Desempate
2026-06-18,Canada x Qatar,Jonathan David,Canada,29',2 x 0,Goal,Ampliando o placar
2026-06-18,Canada x Qatar,Jonathan David,Canada,45'+3',3 x 0,Goal,Ampliando o placar
2026-06-18,Canada x Qatar,Nathan Saliba,Canada,64',4 x 0,Goal - Free-kick,Ampliando o placar
2026-06-18,Canada x Qatar,Mohamed Manai,Canada,75',5 x 0,Own Goal,Ampliando o placar
2026-06-18,Canada x Qatar,Jonathan David,Canada,90'+2',6 x 0,Goal,Ampliando o placar
2026-06-19,Mexico x South Korea,Luis Romo,Mexico,50',1 x 0,Goal,Desempate
2026-06-19,USA x Australia,Cameron Burgess,USA,11',1 x 0,Own Goal,Desempate
2026-06-19,USA x Australia,Alex Freeman,USA,43',2 x 0,Goal - Header,Ampliando o placar
2026-06-19,Scotland x Morocco,Ismael Saibari,Morocco,2',0 x 1,Goal,Desempate
2026-06-20,Brazil x Haiti,Matheus Cunha,Brazil,23',1 x 0,Goal,Desempate
2026-06-20,Brazil x Haiti,Matheus Cunha,Brazil,36',2 x 0,Goal,Ampliando o placar
2026-06-20,Brazil x Haiti,Vinícius Júnior,Brazil,45'+3',3 x 0,Goal,Ampliando o placar
2026-06-20,Türkiye x Paraguay,Matías Galarza,Paraguay,2',0 x 1,Goal,Desempate
2026-06-20,Netherlands x Sweden,Brian Brobbey,Netherlands,5',1 x 0,Goal,Desempate
2026-06-20,Netherlands x Sweden,Brian Brobbey,Netherlands,17',2 x 0,Goal,Ampliando o placar
2026-06-20,Netherlands x Sweden,Cody Gakpo,Netherlands,47',3 x 0,Goal,Ampliando o placar
2026-06-20,Netherlands x Sweden,Cody Gakpo,Netherlands,54',4 x 0,Goal,Ampliando o placar
2026-06-20,Netherlands x Sweden,Anthony Elanga,Sweden,59',4 x 1,Goal,Empate
2026-06-20,Netherlands x Sweden,Crysencio Summerville,Netherlands,89',5 x 1,Goal,Ampliando o placar
2026-06-20,Germany x Ivory Coast,Franck Kessié,Ivory Coast,30',0 x 1,Goal,Desempate
2026-06-20,Germany x Ivory Coast,Deniz Undav,Germany,68',1 x 1,Goal,Empate
2026-06-20,Germany x Ivory Coast,Deniz Undav,Germany,90'+4',2 x 1,Goal,Desempate - Virada
2026-06-21,Tunisia x Japan,Daichi Kamada,Japan,4',0 x 1,Goal,Desempate
2026-06-21,Tunisia x Japan,Ayase Ueda,Japan,31',0 x 2,Goal,Ampliando o placar
2026-06-21,Tunisia x Japan,Junya Ito,Japan,69',0 x 3,Goal,Ampliando o placar
2026-06-21,Tunisia x Japan,Ayase Ueda,Japan,83',0 x 4,Goal - Header,Ampliando o placar
2026-06-21,Spain x Saudi Arabia,Lamine Yamal,Spain,10',1 x 0,Goal,Desempate
2026-06-21,Spain x Saudi Arabia,Mikel Oyarzabal,Spain,21',2 x 0,Goal,Ampliando o placar
2026-06-21,Spain x Saudi Arabia,Mikel Oyarzabal,Spain,24',3 x 0,Goal,Ampliando o placar
2026-06-21,Spain x Saudi Arabia,Hassan Al-Tambakti,Spain,49',4 x 0,Own Goal,Ampliando o placar
2026-06-21,Uruguay x Cape Verde,Kevin Pina,Cape Verde,21',0 x 1,Goal - Free-kick,Desempate
2026-06-21,Uruguay x Cape Verde,Maxi Araújo,Uruguay,44',1 x 1,Goal - Header,Empate
2026-06-21,Uruguay x Cape Verde,Agustín Canobbio,Uruguay,45'+6',2 x 1,Goal,Desempate - Virada
2026-06-21,Uruguay x Cape Verde,Hélio Varela,Cape Verde,61',2 x 2,Goal,Empate
2026-06-22,New Zealand x Egypt,Finn Surman,New Zealand,15',1 x 0,Goal - Header,Desempate
2026-06-22,New Zealand x Egypt,Mostafa Zico,Egypt,58',1 x 1,Goal - Header,Empate
2026-06-22,New Zealand x Egypt,Mohamed Salah,Egypt,67',1 x 2,Goal,Desempate - Virada
2026-06-22,New Zealand x Egypt,Trézéguet,Egypt,82',1 x 3,Goal - Header,Ampliando o placar
2026-06-22,Argentina x Austria,Lionel Messi,Argentina,38',1 x 0,Goal,Desempate
2026-06-22,Argentina x Austria,Lionel Messi,Argentina,90'+5',2 x 0,Goal,Ampliando o placar
2026-06-22,France x Iraq,Kylian Mbappé,France,14',1 x 0,Goal,Desempate
2026-06-22,France x Iraq,Kylian Mbappé,France,54',2 x 0,Goal,Ampliando o placar
2026-06-22,France x Iraq,Ousmane Dembélé,France,66',3 x 0,Goal,Ampliando o placar
2026-06-23,Norway x Senegal,Marcus Holmgren Pedersen,Norway,43',1 x 0,Goal,Desempate
2026-06-23,Norway x Senegal,Erling Haaland,Norway,48',2 x 0,Goal,Ampliando o placar
2026-06-23,Norway x Senegal,Ismaïla Sarr,Senegal,53',2 x 1,Goal,Empate
2026-06-23,Norway x Senegal,Erling Haaland,Norway,58',3 x 1,Goal,Ampliando o placar
2026-06-23,Norway x Senegal,Ismaïla Sarr,Senegal,90'+3',3 x 2,Goal,Empate
2026-06-23,Jordan x Algeria,Nizar Al-Rashdan,Jordan,36',1 x 0,Goal,Desempate
2026-06-23,Jordan x Algeria,Nadhir Benbouali,Algeria,69',1 x 1,Goal - Header,Empate
2026-06-23,Jordan x Algeria,Amine Gouiri,Algeria,82',1 x 2,Goal,Desempate - Virada
2026-06-23,Portugal x Uzbekistan,Cristiano Ronaldo,Portugal,6',1 x 0,Goal - Volley,Desempate
2026-06-23,Portugal x Uzbekistan,Nuno Mendes,Portugal,17',2 x 0,Goal - Free-kick,Ampliando o placar
2026-06-23,Portugal x Uzbekistan,Cristiano Ronaldo,Portugal,39',3 x 0,Goal,Ampliando o placar
2026-06-23,Portugal x Uzbekistan,Abduvohid Nematov,Portugal,60',4 x 0,Own Goal,Ampliando o placar
2026-06-23,Portugal x Uzbekistan,Rafael Leão,Portugal,87',5 x 0,Goal,Ampliando o placar
2026-06-23,Panama x Croatia,Ante Budimir,Croatia,54',0 x 1,Goal,Desempate
2026-06-24,Colombia x Congo DR,Daniel Muñoz,Colombia,76',1 x 0,Goal,Desempate
2026-06-24,Bosnia-Herz x Qatar,Kerim Alajbegovic,Bosnia-Herz,29',1 x 0,Goal,Desempate
2026-06-24,Bosnia-Herz x Qatar,Mahmoud Abunada,Bosnia-Herz,34',2 x 0,Own Goal,Ampliando o placar
2026-06-24,Bosnia-Herz x Qatar,Hassan Al-Haydos,Qatar,42',2 x 1,Goal,Empate
2026-06-24,Bosnia-Herz x Qatar,Ermin Mahmic,Bosnia-Herz,80',3 x 1,Goal,Ampliando o placar
2026-06-24,Switzerland x Canada,Rubén Vargas,Switzerland,46',1 x 0,Goal,Desempate
2026-06-24,Switzerland x Canada,Johan Manzambi,Switzerland,57',2 x 0,Goal,Ampliando o placar
2026-06-24,Switzerland x Canada,Promise David,Canada,76',2 x 1,Goal,Empate
2026-06-24,Morocco x Haiti,Yassine Bounou,Haiti,10',0 x 1,Own Goal,Desempate
2026-06-24,Morocco x Haiti,Achraf Hakimi,Morocco,39',1 x 1,Goal,Empate
2026-06-24,Morocco x Haiti,Wilson Isidor,Haiti,43',1 x 2,Goal,Desempate
2026-06-24,Morocco x Haiti,Ismael Saibari,Morocco,45'+1',2 x 2,Goal,Empate
2026-06-24,Morocco x Haiti,Soufiane Rahimi,Morocco,78',3 x 2,Goal,Desempate - Virada
2026-06-24,Morocco x Haiti,Gessime Yassine,Morocco,89',4 x 2,Goal,Ampliando o placar
2026-06-24,Scotland x Brazil,Vinícius Júnior,Brazil,7',0 x 1,Goal,Desempate
2026-06-24,Scotland x Brazil,Vinícius Júnior,Brazil,45'+3',0 x 2,Goal - Header,Ampliando o placar
2026-06-24,Scotland x Brazil,Matheus Cunha,Brazil,60',0 x 3,Goal,Ampliando o placar
2026-06-25,Czechia x Mexico,Mateo Chávez,Mexico,55',0 x 1,Goal,Desempate
2026-06-25,Czechia x Mexico,Julián Quiñones,Mexico,61',0 x 2,Goal,Ampliando o placar
2026-06-25,Czechia x Mexico,Álvaro Fidalgo,Mexico,90'+4',0 x 3,Goal,Ampliando o placar
2026-06-25,South Africa x South Korea,Thapelo Maseko,South Africa,63',1 x 0,Goal,Desempate
2026-06-25,Curaçao x Ivory Coast,Nicolas Pépé,Ivory Coast,7',0 x 1,Goal,Desempate
2026-06-25,Curaçao x Ivory Coast,Nicolas Pépé,Ivory Coast,64',0 x 2,Goal,Ampliando o placar
2026-06-25,Ecuador x Germany,Leroy Sané,Germany,2',0 x 1,Goal,Desempate
2026-06-25,Ecuador x Germany,Nilson Angulo,Ecuador,9',1 x 1,Goal,Empate
2026-06-25,Ecuador x Germany,Gonzalo Plata,Ecuador,77',2 x 1,Goal,Desempate - Virada
2026-06-25,Japan x Sweden,Daizen Maeda,Japan,56',1 x 0,Goal,Desempate
2026-06-25,Japan x Sweden,Anthony Elanga,Sweden,62',1 x 1,Goal,Empate
2026-06-25,Tunisia x Netherlands,Ellyes Skhiri,Netherlands,3',0 x 1,Own Goal,Desempate
2026-06-25,Tunisia x Netherlands,Brian Brobbey,Netherlands,7',0 x 2,Goal,Ampliando o placar
2026-06-25,Tunisia x Netherlands,Hazem Mastouri,Tunisia,54',1 x 2,Goal - Header,Empate
2026-06-25,Tunisia x Netherlands,Jan Paul van Hecke,Netherlands,62',1 x 3,Goal - Header,Ampliando o placar
2026-06-26,Türkiye x USA,Auston Trusty,USA,3',0 x 1,Goal,Desempate
2026-06-26,Türkiye x USA,Arda Güler,Türkiye,10',1 x 1,Goal,Empate
2026-06-26,Türkiye x USA,Baris Alper Yilmaz,Türkiye,31',2 x 1,Goal,Desempate - Virada
2026-06-26,Türkiye x USA,Sebastian Berhalter,USA,49',2 x 2,Goal,Empate
2026-06-26,Türkiye x USA,Kaan Ayhan,Türkiye,90'+8',3 x 2,Goal,Desempate - Virada
2026-06-26,Norway x France,Ousmane Dembélé,France,7',0 x 1,Goal,Desempate
2026-06-26,Norway x France,Ousmane Dembélé,France,20',0 x 2,Goal,Ampliando o placar
2026-06-26,Norway x France,Thelo Aasgaard,Norway,21',1 x 2,Goal,Empate
2026-06-26,Norway x France,Ousmane Dembélé,France,32',1 x 3,Goal,Ampliando o placar
2026-06-26,Norway x France,Désiré Doué,France,90'+4',1 x 4,Goal - Header,Ampliando o placar
2026-06-26,Senegal x Iraq,Habib Diarra,Senegal,4',1 x 0,Goal,Desempate
2026-06-26,Senegal x Iraq,Ismaïla Sarr,Senegal,56',2 x 0,Goal,Ampliando o placar
2026-06-26,Senegal x Iraq,Pape Gueye,Senegal,59',3 x 0,Goal,Ampliando o placar
2026-06-26,Senegal x Iraq,Pape Gueye,Senegal,71',4 x 0,Goal,Ampliando o placar
2026-06-26,Senegal x Iraq,Iliman Ndiaye,Senegal,82',5 x 0,Goal,Ampliando o placar
2026-06-27,Uruguay x Spain,Álex Baena,Spain,42',0 x 1,Goal,Desempate
2026-06-27,Egypt x Iran,Mahmoud Saber,Egypt,5',1 x 0,Goal,Desempate
2026-06-27,Egypt x Iran,Ramin Rezaeian,Iran,14',1 x 1,Goal,Empate
2026-06-27,New Zealand x Belgium,Leandro Trossard,Belgium,28',0 x 1,Goal,Desempate
2026-06-27,New Zealand x Belgium,Leandro Trossard,Belgium,50',0 x 2,Goal,Ampliando o placar
2026-06-27,New Zealand x Belgium,Kevin De Bruyne,Belgium,66',0 x 3,Goal,Ampliando o placar
2026-06-27,New Zealand x Belgium,Elijah Just,New Zealand,84',1 x 3,Goal,Empate
2026-06-27,New Zealand x Belgium,Romelu Lukaku,Belgium,86',1 x 4,Goal - Header,Ampliando o placar
2026-06-27,New Zealand x Belgium,Alexis Saelemaekers,Belgium,90'+4',1 x 5,Goal,Ampliando o placar
2026-06-27,Croatia x Ghana,Petar Sucic,Croatia,31',1 x 0,Goal,Desempate
2026-06-27,Croatia x Ghana,Derrick Luckassen,Ghana,73',1 x 1,Goal,Empate
2026-06-27,Croatia x Ghana,Nikola Vlasic,Croatia,83',2 x 1,Goal - Header,Desempate
2026-06-27,Panama x England,Jude Bellingham,England,62',0 x 1,Goal,Desempate
2026-06-27,Panama x England,Harry Kane,England,67',0 x 2,Goal - Header,Ampliando o placar
2026-06-27,Congo DR x Uzbekistan,Eldor Shomurodov,Uzbekistan,10',0 x 1,Goal - Volley,Desempate
2026-06-27,Congo DR x Uzbekistan,Yoane Wissa,Congo DR,68',1 x 1,Penalty - Scored,Empate
2026-06-27,Congo DR x Uzbekistan,Fiston Mayele,Congo DR,78',2 x 1,Goal,Desempate - Virada
2026-06-27,Congo DR x Uzbekistan,Yoane Wissa,Congo DR,90'+1',3 x 1,Goal,Ampliando o placar
2026-06-28,Algeria x Austria,Marko Arnautovic,Austria,28',0 x 1,Goal,Desempate
2026-06-28,Algeria x Austria,Rafik Belghali,Algeria,45',1 x 1,Goal,Empate
2026-06-28,Algeria x Austria,Marcel Sabitzer,Austria,55',1 x 2,Goal,Desempate
2026-06-28,Algeria x Austria,Riyad Mahrez,Algeria,60',2 x 2,Goal,Empate
2026-06-28,Algeria x Austria,Riyad Mahrez,Algeria,90'+3',3 x 2,Goal,Desempate - Virada
2026-06-28,Algeria x Austria,Sasa Kalajdzic,Austria,90'+6',3 x 3,Goal - Header,Empate
2026-06-28,Jordan x Argentina,Giovani Lo Celso,Argentina,19',0 x 1,Goal - Free-kick,Desempate
2026-06-28,Jordan x Argentina,Lautaro Martínez,Argentina,31',0 x 2,Penalty - Scored,Ampliando o placar
2026-06-28,Jordan x Argentina,Mousa Al-Tamari,Jordan,55',1 x 2,Goal,Empate
2026-06-28,Jordan x Argentina,Lionel Messi,Argentina,80',1 x 3,Goal - Free-kick,Ampliando o placar
2026-06-28,South Africa x Canada,Stephen Eustáquio,Canada,90'+2',0 x 1,Goal,Desempate
2026-06-29,Brazil x Japan,Kaishu Sano,Japan,29',0 x 1,Goal,Desempate
2026-06-29,Brazil x Japan,Casemiro,Brazil,56',1 x 1,Goal - Header,Empate
2026-06-29,Brazil x Japan,Gabriel Martinelli,Brazil,90'+5',2 x 1,Goal,Desempate - Virada
2026-06-29,Germany x Paraguay,Julio Enciso,Paraguay,42',0 x 1,Goal - Header,Desempate
2026-06-29,Germany x Paraguay,Kai Havertz,Germany,54',1 x 1,Goal - Header,Empate
2026-06-30,Netherlands x Morocco,Cody Gakpo,Netherlands,72',1 x 0,Goal,Desempate
2026-06-30,Netherlands x Morocco,Issa Diop,Morocco,90'+1',1 x 1,Goal - Header,Empate
